Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,37172386
"Population, total",SP.POP.TOTL,Albania,ALB,2866376
"Population, total",SP.POP.TOTL,Algeria,DZA,42228429
"Population, total",SP.POP.TOTL,American Samoa,ASM,55465
"Population, total",SP.POP.TOTL,Andorra,AND,77006
"Population, total",SP.POP.TOTL,Angola,AGO,30809762
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,96286
"Population, total",SP.POP.TOTL,Argentina,ARG,44494502
"Population, total",SP.POP.TOTL,Armenia,ARM,2951776
"Population, total",SP.POP.TOTL,Aruba,ABW,105845
"Population, total",SP.POP.TOTL,Australia,AUS,24982688
"Population, total",SP.POP.TOTL,Austria,AUT,8840521
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9939800
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,385640
"Population, total",SP.POP.TOTL,Bahrain,BHR,1569439
"Population, total",SP.POP.TOTL,Bangladesh,BGD,161356039
"Population, total",SP.POP.TOTL,Barbados,BRB,286641
"Population, total",SP.POP.TOTL,Belarus,BLR,9483499
"Population, total",SP.POP.TOTL,Belgium,BEL,11433256
"Population, total",SP.POP.TOTL,Belize,BLZ,383071
"Population, total",SP.POP.TOTL,Benin,BEN,11485048
"Population, total",SP.POP.TOTL,Bermuda,BMU,63973
"Population, total",SP.POP.TOTL,Bhutan,BTN,754394
"Population, total",SP.POP.TOTL,Bolivia,BOL,11353142
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3323929
"Population, total",SP.POP.TOTL,Botswana,BWA,2254126
"Population, total",SP.POP.TOTL,Brazil,BRA,209469333
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29802
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,428962
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7025037
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19751535
"Population, total",SP.POP.TOTL,Burundi,BDI,11175378
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,543767
"Population, total",SP.POP.TOTL,Cambodia,KHM,16249798
"Population, total",SP.POP.TOTL,Cameroon,CMR,25216237
"Population, total",SP.POP.TOTL,Canada,CAN,37057765
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,64174
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4666377
"Population, total",SP.POP.TOTL,Chad,TCD,15477751
"Population, total",SP.POP.TOTL,Channel Islands,CHI,170499
"Population, total",SP.POP.TOTL,Chile,CHL,18729160
"Population, total",SP.POP.TOTL,China,CHN,1392730000
"Population, total",SP.POP.TOTL,Colombia,COL,49648685
"Population, total",SP.POP.TOTL,Comoros,COM,832322
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,84068091
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5244363
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4999441
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25069229
"Population, total",SP.POP.TOTL,Croatia,HRV,4087843
"Population, total",SP.POP.TOTL,Cuba,CUB,11338138
"Population, total",SP.POP.TOTL,Curacao,CUW,159800
"Population, total",SP.POP.TOTL,Cyprus,CYP,1189265
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10629928
"Population, total",SP.POP.TOTL,Denmark,DNK,5793636
"Population, total",SP.POP.TOTL,Djibouti,DJI,958920
"Population, total",SP.POP.TOTL,Dominica,DMA,71625
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10627165
"Population, total",SP.POP.TOTL,Ecuador,ECU,17084357
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,98423595
"Population, total",SP.POP.TOTL,El Salvador,SLV,6420744
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1308974
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1321977
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1136191
"Population, total",SP.POP.TOTL,Ethiopia,ETH,109224559
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48497
"Population, total",SP.POP.TOTL,Fiji,FJI,883483
"Population, total",SP.POP.TOTL,Finland,FIN,5515525
"Population, total",SP.POP.TOTL,France,FRA,66977107
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277679
"Population, total",SP.POP.TOTL,Gabon,GAB,2119275
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2280102
"Population, total",SP.POP.TOTL,Georgia,GEO,3726549
"Population, total",SP.POP.TOTL,Germany,DEU,82905782
"Population, total",SP.POP.TOTL,Ghana,GHA,29767108
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33718
"Population, total",SP.POP.TOTL,Greece,GRC,10731726
"Population, total",SP.POP.TOTL,Greenland,GRL,56025
"Population, total",SP.POP.TOTL,Grenada,GRD,111454
"Population, total",SP.POP.TOTL,Guam,GUM,165768
"Population, total",SP.POP.TOTL,Guatemala,GTM,17247807
"Population, total",SP.POP.TOTL,Guinea,GIN,12414318
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1874309
"Population, total",SP.POP.TOTL,Guyana,GUY,779004
"Population, total",SP.POP.TOTL,Haiti,HTI,11123176
